region_code,model_name,function_code,fold_count,mean_mae,mean_rmse,mean_mape,mean_mase,mean_coverage_80,mean_coverage_95,mae_rank
Q71,ARIMA,C_999,6,73278.2016,85303.3612,9.8429,,0.8888,0.9445,1
Q71,HoltWinters_Multiplicative,C_999,6,409143.511,412874.6366,52.9655,,0.3055,0.3333,2
Q71,SARIMA,C_999,6,587548.3346,681694.8615,73.6432,,0.7917,0.875,3
Y58,ARIMA,C_999,6,50461.9053,57412.1634,5.1631,,0.8612,1,1
Y58,HoltWinters_Additive,C_999,6,156071.4206,158630.9999,15.9963,,0.861,0.875,2
Y59,ARIMA,C_999,6,57578.1875,66260.8473,5.4339,,0.9445,0.9862,1
Y59,SARIMA,C_999,6,92789.4074,107897.6343,8.7462,,0.9305,0.9583,2
Y59,HoltWinters_Additive,C_999,6,116493.7362,119717.6083,11.0382,,0.361,0.4167,3
Y60,ARIMA,C_999,6,49186.2302,56572.3418,6.3415,,0.9722,0.9862,1
Y60,SARIMA,C_999,6,84529.2272,92320.1721,10.8537,,0.8193,0.9722,2
Y60,HoltWinters_Additive,C_999,6,188172.4836,191041.5554,23.9394,,0.7917,0.7917,3
Y61,ARIMA,C_999,6,105328.295,121453.0338,5.3484,,0.9445,0.9583,1
Y61,HoltWinters_Additive,C_999,6,211912.2093,222436.9617,10.9062,,0.4445,0.5277,2
Y62,ARIMA,C_999,6,54144.9266,63635.7524,6.056,,0.9027,0.9722,1
Y62,HoltWinters_Additive,C_999,6,153416.1173,159063.3219,16.9425,,0.2638,0.4167,2
Y63,ARIMA,C_999,6,66040.7919,82565.2419,8.3982,,0.8888,0.9445,1
Y63,HoltWinters_Additive,C_999,6,151780.4147,160696.1149,18.0188,,0.8472,0.8612,2
Y63,SARIMA,C_999,6,12889255.2326,14649562.5228,1501.7404,,0.7223,0.8473,3
